currently,years_old,count,latitude,longitude
Aquatica Orlando,23.5,4,28.4156275,-81.456997
Brookfield Zoo,14.625,8,41.834853,-87.851813
Clearwater Marine Aquarium,11.333333333333334,3,27.9768877,-82.8192925
Discovery Cove,14.148148148148149,54,28.40509,-81.46244
Dolphin Connection,29.2,5,24.776879,-80.91319
Dolphin Quest Hawai,14.916666666666666,12,20.2207,-155.83028
Dolphin Quest Oahu,22.0,6,19.9724,-155.818
Dolphin Research Center,19.44,25,24.7669499,-80.9455449
Dolphinaris Arizona,12.25,8,33.5545629,-111.8759887
Dolphins Plus Bayside,11.333333333333334,9,25.0966419,-80.4396404
Dolphins Plus Oceanside,19.0,14,25.096613,-80.441655
EPCOT The Seas,25.25,4,28.540447,-81.372866
Georgia Aquarium,14.0,17,33.7622862,-84.3945776
Gulf World Marine Park,6.4,5,30.2110899,-85.8672572
Gulfarium Marine Adventure,11.25,4,30.2110899,-85.8672572
Indianapolis Zoo,19.2,10,39.7669212,-86.1799659
Inst. for Marine Mammal Studies,28.666666666666668,3,30.420158,-89.0167326
Marineland Florida,16.125,16,29.670557,-81.213723
Miami Seaquarium,4.777777777777778,9,25.7449289,-80.1458679
Mirage Dolphin Habitat,16.555555555555557,9,36.120172,-115.177915
SeaWorld Orlando,17.435897435897434,39,29.4566321,-98.6986558
SeaWorld San Antonio,16.63157894736842,38,32.7659778,-117.2266265
SeaWorld San Diego,20.23404255319149,47,28.410793,-81.462392
Shedd Aquarium,17.714285714285715,14,29.4566321,-98.6986558
Six Flags Discovery Kingdom,21.27272727272728,11,41.8026586,-87.5836826
Texas State Aquarium,17.0,4,37.797875,-122.41438
Theater of the Sea,24.75,8,24.9232736,-80.6274943
U.S. Navy,22.3125,80,32.708103,-117.2474344
